airport_id,ref_time,interval_1_Arrival,interval_2_Arrival,interval_3_Arrival,interval_4_Arrival,interval_5_Arrival,interval_6_Arrival,interval_7_Arrival,interval_8_Arrival,interval_9_Arrival,interval_10_Arrival,interval_11_Arrival,interval_12_Arrival,interval_1_ETD,interval_2_ETD,interval_3_ETD,interval_4_ETD,interval_5_ETD,interval_6_ETD,interval_7_ETD,interval_8_ETD,interval_9_ETD,interval_10_ETD,interval_11_ETD,interval_12_ETD,interval_1_TFM,interval_2_TFM,interval_3_TFM,interval_4_TFM,interval_5_TFM,interval_6_TFM,interval_7_TFM,interval_8_TFM,interval_9_TFM,interval_10_TFM,interval_11_TFM,interval_12_TFM,interval_1_TBFM,interval_2_TBFM,interval_3_TBFM,interval_4_TBFM,interval_5_TBFM,interval_6_TBFM,interval_7_TBFM,interval_8_TBFM,interval_9_TBFM,interval_10_TBFM,interval_11_TBFM,interval_12_TBFM,temperature,wind_direction,wind_speed,wind_gust,cloud_ceiling,visibility,cloud,lightning_prob,precip,departure_runways,arrival_runways
KCLT,2023-02-08 21:54:00,150,120,110,80,130,100,130,180,80,0,0,0,372,225,340,128,109,251,268,271,79,32,66,2,2236,1813,1832,1925,1351,2050,2040,3333,2230,1071,437,209,3482,3252,2854,2766,2168,2860,3162,6834,4531,2590,748,408,68.0,26.0,4.0,0.0,7.0,7.0,4.0,0.0,0.0,2,3
KCLT,2023-02-08 22:58:00,100,110,150,180,30,0,0,0,0,0,0,0,114,243,274,265,66,34,55,6,4,19,66,36,1480,2210,2503,3427,1748,757,218,202,53,42,4,11,1593,2688,4765,6435,3897,2063,196,573,152,27,0,0,66.0,23.0,3.0,0.0,8.0,7.0,3.0,0.0,0.0,2,3
KCLT,2023-02-08 23:53:00,100,0,0,0,0,0,0,0,0,0,0,0,109,36,69,2,4,16,42,60,40,32,14,8,2369,1095,440,228,101,38,25,9,17,152,6,9,4744,2741,746,418,185,170,5,0,0,323,0,0,63.0,23.0,1.0,0.0,8.0,7.0,3.0,0.0,0.0,2,3
KDEN,2023-02-08 00:54:00,56,44,44,40,44,52,44,32,72,44,16,16,341,646,514,230,108,388,481,378,69,56,100,154,662,1439,1282,1266,1373,1789,1795,1760,2564,1081,652,1015,1603,2019,2036,2344,2975,4051,4035,1648,7728,3413,1767,895,28.0,16.0,6.0,0.0,8.0,7.0,0.0,0.0,0.0,3,3
KDEN,2023-02-08 01:54:00,44,52,44,32,72,44,16,16,24,32,0,24,108,388,481,378,69,56,100,154,188,150,217,105,1373,1789,1795,1760,2564,1081,652,1015,1220,777,679,586,2975,4051,4035,1648,7728,3413,1767,895,2688,3081,868,2195,28.0,16.0,6.0,0.0,8.0,7.0,0.0,0.0,0.0,3,3
KDEN,2023-02-08 02:54:00,72,44,16,16,24,32,0,24,24,24,40,28,69,56,100,154,188,150,217,105,44,65,42,14,2564,1081,652,1015,1220,777,679,586,1231,1665,1749,1799,7728,3413,1767,895,2688,3081,868,2195,2030,3187,4484,2724,27.0,17.0,6.0,0.0,8.0,7.0,0.0,0.0,0.0,3,3
KDEN,2023-02-08 03:56:00,24,32,4,20,24,28,40,32,12,8,12,12,205,123,216,111,51,63,31,12,3,29,33,34,1311,640,740,669,1284,1680,1897,1652,381,548,428,682,2777,3172,835,1809,2111,3447,4533,3203,1682,733,1309,928,25.0,16.0,9.0,0.0,8.0,7.0,0.0,0.0,0.0,3,3
KDEN,2023-02-08 04:54:00,24,24,40,28,20,8,12,12,16,12,0,4,44,65,42,14,1,31,31,14,55,38,51,20,1231,1665,1749,1799,609,539,422,689,772,200,70,276,2030,3187,4484,2724,2587,518,1258,1123,1174,1340,112,585,24.0,18.0,11.0,0.0,8.0,7.0,0.0,0.0,0.0,2,3
KDEN,2023-02-08 05:54:00,20,8,12,12,16,12,0,4,4,4,0,0,1,31,31,14,55,38,51,20,0,5,0,0,609,539,422,689,772,200,70,276,177,376,6,4,2587,518,1258,1123,1174,1340,112,585,412,613,81,0,25.0,20.0,8.0,0.0,8.0,7.0,0.0,0.0,0.0,2,3
KDEN,2023-02-08 06:54:00,16,12,0,4,4,4,0,0,4,0,0,4,55,38,51,20,0,5,0,0,0,0,0,0,772,200,70,276,177,376,6,4,237,0,40,139,1174,1340,112,585,412,613,81,0,287,255,0,605,28.0,22.0,11.0,0.0,8.0,7.0,0.0,0.0,0.0,2,3
KDEN,2023-02-08 07:54:00,4,4,0,0,4,0,0,4,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,177,376,6,4,237,0,40,139,3,2,440,6,412,613,81,0,287,255,0,605,0,0,702,12,25.0,23.0,6.0,0.0,8.0,7.0,0.0,0.0,0.0,2,2
KDEN,2023-02-08 08:59:00,4,0,4,0,0,4,8,0,4,4,4,0,0,0,0,0,0,0,0,0,9,0,17,11,236,0,179,0,3,142,304,2,157,198,131,7,542,0,151,454,0,12,702,0,18,395,462,51,25.0,29.0,6.0,0.0,8.0,7.0,0.0,0.0,0.0,2,2
KDEN,2023-02-08 09:54:00,0,0,12,0,0,4,4,4,0,4,4,4,0,0,0,0,8,1,4,24,1,9,17,128,3,2,440,6,1,325,148,15,61,323,65,284,0,0,702,12,0,287,304,335,6,380,467,146,22.0,23.0,5.0,0.0,8.0,7.0,0.0,0.0,0.0,2,3
KDEN,2023-02-08 11:33:00,4,0,4,4,0,4,16,36,44,40,24,24,17,10,2,13,88,87,121,112,184,242,142,212,126,9,254,189,164,322,446,1442,1080,1542,1567,479,376,0,386,467,0,349,509,1936,3205,3012,3410,1528,22.0,23.0,7.0,0.0,8.0,7.0,0.0,0.0,0.0,2,3
KDEN,2023-02-08 11:53:00,0,4,4,4,4,24,40,32,40,32,16,32,1,9,15,124,66,129,136,201,217,181,153,192,28,271,152,280,222,1037,1353,840,1679,1228,985,1158,0,386,467,80,477,628,2956,2124,3796,3328,821,3160,22.0,23.0,7.0,0.0,8.0,7.0,0.0,0.0,0.0,2,3
KDEN,2023-02-08 12:56:00,8,32,40,28,36,28,24,28,36,68,76,80,65,132,175,262,126,211,115,186,216,333,546,159,275,1145,1456,937,1619,961,1091,1239,1616,2768,2591,3685,320,885,3189,2324,3340,3288,1281,2998,3291,5904,5648,9670,21.0,22.0,8.0,0.0,8.0,7.0,0.0,0.0,0.0,2,3
KDEN,2023-02-08 13:54:00,32,32,16,32,36,56,84,80,72,48,84,92,206,181,149,192,218,303,568,155,114,80,71,71,1615,1082,1013,1161,1566,2658,2784,3299,2851,2469,5601,5264,3530,3394,779,3235,3398,4843,6191,9183,7766,4868,14369,19908,23.0,22.0,9.0,0.0,8.0,7.0,0.0,0.0,0.0,3,3
KDEN,2023-02-08 14:21:00,20,28,28,48,84,84,80,36,92,84,92,80,193,172,132,376,608,131,132,90,71,37,325,436,586,1244,1571,2370,2924,3169,3130,2272,5220,5390,3790,1980,1172,2989,2773,4107,7018,7524,8806,4287,12968,19882,16488,6910,23.0,22.0,9.0,0.0,8.0,7.0,0.0,0.0,0.0,3,3
KDEN,2023-02-08 14:54:00,36,56,84,80,72,48,84,92,88,72,36,28,218,303,568,155,114,80,71,71,382,445,385,163,1566,2658,2784,3299,2851,2469,5601,5264,3488,1642,1860,688,3398,4843,6191,9183,7766,4868,14369,19908,15145,5588,2218,4201,25.0,21.0,10.0,0.0,8.0,7.0,1.0,0.0,0.0,3,3
KDEN,2023-02-08 15:56:00,64,56,92,92,80,68,36,24,20,36,32,56,104,101,42,93,405,483,328,157,171,286,438,459,2401,3116,5591,5154,3186,1394,1886,778,761,1428,2401,2391,7213,5835,15501,19520,13616,4947,2481,3743,1441,2585,3700,5815,32.0,22.0,11.0,0.0,8.0,7.0,1.0,0.0,0.0,3,3
