station,datetime,cor,auto,weather,temperature,dewpoint,date_time,cloud_layers,visibility_meters,wind_speed_mps,pressure
BGGH,312350Z,,False,NCD ,5.0,0.0,2022-08-31 23:50:00+00:00,[],,3.6,1022.0
BGGH,312350Z,,False,NCD ,5.0,0.0,2022-08-31 23:50:00+00:00,[],,3.6,1022.0
BGGH,312350Z,,False,NCD ,5.0,0.0,2022-08-31 23:50:00+00:00,[],,3.6,1022.0
BGGH,312350Z,,False,NCD ,5.0,0.0,2022-08-31 23:50:00+00:00,[],,3.6,1022.0
BGJN,312350Z,,False,-RA ,3.0,2.0,2022-08-31 23:50:00+00:00,"[{'sky_cover': 5, 'altitude_ft': 1600, 'cumulonimbus': 0}, {'sky_cover': 8, 'altitude_ft': 3500, 'cumulonimbus': 0}]",,9.77,1025.0
BGJN,312350Z,,False,-RA ,3.0,2.0,2022-08-31 23:50:00+00:00,"[{'sky_cover': 5, 'altitude_ft': 1600, 'cumulonimbus': 0}, {'sky_cover': 8, 'altitude_ft': 3500, 'cumulonimbus': 0}]",,9.77,1025.0
BGJN,312350Z,,False,-RA ,3.0,2.0,2022-08-31 23:50:00+00:00,"[{'sky_cover': 5, 'altitude_ft': 1600, 'cumulonimbus': 0}, {'sky_cover': 8, 'altitude_ft': 3500, 'cumulonimbus': 0}]",,9.77,1025.0
BGJN,312350Z,,False,-RA ,3.0,2.0,2022-08-31 23:50:00+00:00,"[{'sky_cover': 5, 'altitude_ft': 1600, 'cumulonimbus': 0}, {'sky_cover': 8, 'altitude_ft': 3500, 'cumulonimbus': 0}]",,9.77,1025.0
BGKK,312350Z,,False,FG ,3.0,2.0,2022-08-31 23:50:00+00:00,[],,11.83,1011.0
BGKK,312350Z,,False,FG ,3.0,2.0,2022-08-31 23:50:00+00:00,[],,11.83,1011.0
BGKK,312350Z,,False,FG ,3.0,2.0,2022-08-31 23:50:00+00:00,[],,11.83,1011.0
BGKK,312350Z,,False,FG ,3.0,2.0,2022-08-31 23:50:00+00:00,[],,11.83,1011.0
BGSF,312350Z,,False,FEW,,,2022-08-31 23:50:00+00:00,[],,3.09,
BGSF,312350Z,,False,FEW,,,2022-08-31 23:50:00+00:00,[],,3.09,
BGSF,312350Z,,False,FEW,,,2022-08-31 23:50:00+00:00,[],,3.09,
BGSF,312350Z,,False,FEW,,,2022-08-31 23:50:00+00:00,[],,3.09,
BGTL,312353Z,,False,BKN,,,2022-08-31 23:53:00+00:00,[],9999.0,15.95,
BGTL,312353Z,,False,BKN,,,2022-08-31 23:53:00+00:00,[],9999.0,15.95,
BGTL,312355Z,,False,BKN,,,2022-08-31 23:55:00+00:00,[],9999.0,15.43,
BGTL,312355Z,,False,BKN,,,2022-08-31 23:55:00+00:00,[],9999.0,15.43,
BGTL,312355Z,,False,BKN,,,2022-08-31 23:55:00+00:00,[],9999.0,15.43,
BGTL,312355Z,,False,BKN,,,2022-08-31 23:55:00+00:00,[],9999.0,15.43,
BGTL,010015Z,,False,OVC,,,2022-09-01 00:15:00+00:00,[],9999.0,13.89,
BGTL,010015Z,,False,OVC,,,2022-09-01 00:15:00+00:00,[],9999.0,13.89,
BGTL,010015Z,COR ,False,BKN,,,2022-09-01 00:15:00+00:00,[],9999.0,13.89,
BGTL,010015Z,COR ,False,BKN,,,2022-09-01 00:15:00+00:00,[],9999.0,13.89,
BIAR,010000Z,,False,BKN,,,2022-09-01 00:00:00+00:00,[],9999.0,9.77,
BIAR,010000Z,,False,BKN,,,2022-09-01 00:00:00+00:00,[],9999.0,9.77,
BIAR,010000Z,,False,BKN,,,2022-09-01 00:00:00+00:00,[],9999.0,9.77,
BIAR,010000Z,,False,BKN,,,2022-09-01 00:00:00+00:00,[],9999.0,9.77,
BIEG,010000Z,,False,FEW,,,2022-09-01 00:00:00+00:00,[],9999.0,8.75,
BIEG,010000Z,,False,FEW,,,2022-09-01 00:00:00+00:00,[],9999.0,8.75,
BIEG,010000Z,,False,FEW,,,2022-09-01 00:00:00+00:00,[],9999.0,8.75,
BIEG,010000Z,,False,FEW,,,2022-09-01 00:00:00+00:00,[],9999.0,8.75,
BIKF,010000Z,,False,VCSH ,8.0,6.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 1, 'altitude_ft': 1400, 'cumulonimbus': 0}, {'sky_cover': 3, 'altitude_ft': 2800, 'cumulonimbus': 0}, {'sky_cover': 8, 'altitude_ft': 4500, 'cumulonimbus': 0}]",9999.0,12.35,1013.0
BIKF,010000Z,,False,VCSH ,8.0,6.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 1, 'altitude_ft': 1400, 'cumulonimbus': 0}, {'sky_cover': 3, 'altitude_ft': 2800, 'cumulonimbus': 0}, {'sky_cover': 8, 'altitude_ft': 4500, 'cumulonimbus': 0}]",9999.0,12.35,1013.0
BIKF,010000Z,,False,VCSH ,8.0,6.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 1, 'altitude_ft': 1400, 'cumulonimbus': 0}, {'sky_cover': 3, 'altitude_ft': 2800, 'cumulonimbus': 0}, {'sky_cover': 8, 'altitude_ft': 4500, 'cumulonimbus': 0}]",9999.0,12.35,1013.0
BIKF,010000Z,,False,VCSH ,8.0,6.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 1, 'altitude_ft': 1400, 'cumulonimbus': 0}, {'sky_cover': 3, 'altitude_ft': 2800, 'cumulonimbus': 0}, {'sky_cover': 8, 'altitude_ft': 4500, 'cumulonimbus': 0}]",9999.0,12.35,1013.0
BIKF,010000Z,,False,VCSH ,8.0,6.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 1, 'altitude_ft': 1400, 'cumulonimbus': 0}, {'sky_cover': 3, 'altitude_ft': 2800, 'cumulonimbus': 0}, {'sky_cover': 8, 'altitude_ft': 4500, 'cumulonimbus': 0}]",9999.0,12.35,1013.0
BIKF,010000Z,,False,VCSH ,8.0,6.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 1, 'altitude_ft': 1400, 'cumulonimbus': 0}, {'sky_cover': 3, 'altitude_ft': 2800, 'cumulonimbus': 0}, {'sky_cover': 8, 'altitude_ft': 4500, 'cumulonimbus': 0}]",9999.0,12.35,1013.0
BIKF,010030Z,,False,FEW,,,2022-09-01 00:30:00+00:00,[],9999.0,11.32,
BIKF,010030Z,,False,FEW,,,2022-09-01 00:30:00+00:00,[],9999.0,11.32,
BIKF,010030Z,,False,FEW,,,2022-09-01 00:30:00+00:00,[],9999.0,11.32,
BIKF,010030Z,,False,FEW,,,2022-09-01 00:30:00+00:00,[],9999.0,11.32,
BIKF,010030Z,,False,FEW,,,2022-09-01 00:30:00+00:00,[],9999.0,11.32,
BIKF,010030Z,,False,FEW,,,2022-09-01 00:30:00+00:00,[],9999.0,11.32,
BIRK,010000Z,,False,VCSH ,9.0,6.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 1, 'altitude_ft': 1600, 'cumulonimbus': 0}, {'sky_cover': 3, 'altitude_ft': 2300, 'cumulonimbus': 0}, {'sky_cover': 5, 'altitude_ft': 3900, 'cumulonimbus': 0}]",9999.0,10.8,1013.0
BIRK,010000Z,,False,VCSH ,9.0,6.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 1, 'altitude_ft': 1600, 'cumulonimbus': 0}, {'sky_cover': 3, 'altitude_ft': 2300, 'cumulonimbus': 0}, {'sky_cover': 5, 'altitude_ft': 3900, 'cumulonimbus': 0}]",9999.0,10.8,1013.0
BIRK,010000Z,,False,VCSH ,9.0,6.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 1, 'altitude_ft': 1600, 'cumulonimbus': 0}, {'sky_cover': 3, 'altitude_ft': 2300, 'cumulonimbus': 0}, {'sky_cover': 5, 'altitude_ft': 3900, 'cumulonimbus': 0}]",9999.0,10.8,1013.0
BIRK,010000Z,,False,VCSH ,9.0,6.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 1, 'altitude_ft': 1600, 'cumulonimbus': 0}, {'sky_cover': 3, 'altitude_ft': 2300, 'cumulonimbus': 0}, {'sky_cover': 5, 'altitude_ft': 3900, 'cumulonimbus': 0}]",9999.0,10.8,1013.0
BKPR,010000Z,,False,NSC ,17.0,16.0,2022-09-01 00:00:00+00:00,[],9000.0,18.01,1014.0
BKPR,010000Z,,False,,17.0,16.0,2022-09-01 00:00:00+00:00,[],10000.0,18.01,1014.0
BKPR,010030Z,,False,,17.0,16.0,2022-09-01 00:30:00+00:00,[],10000.0,1.03,1014.0
BKPR,010030Z,,False,,17.0,16.0,2022-09-01 00:30:00+00:00,[],10000.0,1.03,1014.0
CAHR,010000Z,,False,,21.0,20.0,2022-09-01 00:00:00+00:00,[],,6.69,
CBAR,010000Z,,False,SM ,13.0,11.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 0, 'altitude_ft': None, 'cumulonimbus': 0}]",,4.12,1004.06
CBBC,010000Z,,False,CLR ,23.0,14.0,2022-09-01 00:00:00+00:00,[],14484.0,16.98,1014.9
CERM,010000Z,,False,,17.0,16.0,2022-09-01 00:00:00+00:00,[],,0.0,
CERM,010000Z,,False,,17.0,16.0,2022-09-01 00:00:00+00:00,[],,0.0,
CERM,010000Z,,False,,17.0,16.0,2022-09-01 00:00:00+00:00,[],,0.0,
CERM,010000Z,,False,,17.0,16.0,2022-09-01 00:00:00+00:00,[],,0.0,
CERM,010000Z,,False,,17.0,16.0,2022-09-01 00:00:00+00:00,[],,0.0,
CERM,010000Z,,False,,17.0,16.0,2022-09-01 00:00:00+00:00,[],,0.0,
CERM,010000Z,,False,,17.0,16.0,2022-09-01 00:00:00+00:00,[],,0.0,
CERM,010000Z,,False,,17.0,16.0,2022-09-01 00:00:00+00:00,[],,0.0,
CERM,010000Z,,False,,17.0,16.0,2022-09-01 00:00:00+00:00,[],,0.0,
CERM,010000Z,,False,,17.0,16.0,2022-09-01 00:00:00+00:00,[],,0.0,
CMFM,010000Z,,False,,12.0,10.0,2022-09-01 00:00:00+00:00,[],,13.89,
CMFM,010000Z,,False,,12.0,10.0,2022-09-01 00:00:00+00:00,[],,13.89,
CMGB,010000Z,,False,,18.0,11.0,2022-09-01 00:00:00+00:00,[],,10.8,
CMGB,010000Z,,False,,18.0,11.0,2022-09-01 00:00:00+00:00,[],,10.8,
CPBT,010000Z,,False,,32.0,7.0,2022-09-01 00:00:00+00:00,[],,14.92,
CPBT,010000Z,,False,,32.0,7.0,2022-09-01 00:00:00+00:00,[],,14.92,
CPBT,010000Z,,False,,32.0,7.0,2022-09-01 00:00:00+00:00,[],,14.92,
CPEH,010000Z,,False,,32.0,10.0,2022-09-01 00:00:00+00:00,[],,0.0,
CPEH,010000Z,,False,,32.0,10.0,2022-09-01 00:00:00+00:00,[],,0.0,
CPEH,010000Z,,False,,32.0,10.0,2022-09-01 00:00:00+00:00,[],,0.0,
CPFI,010000Z,,False,,32.0,11.0,2022-09-01 00:00:00+00:00,[],,14.4,
CPFI,010000Z,,False,,32.0,11.0,2022-09-01 00:00:00+00:00,[],,14.4,
CPFI,010000Z,,False,,32.0,11.0,2022-09-01 00:00:00+00:00,[],,14.4,
CPIN,010000Z,,False,SM ,,,2022-09-01 00:00:00+00:00,"[{'sky_cover': 0, 'altitude_ft': None, 'cumulonimbus': 0}]",,6.17,
CPIR,010000Z,,False,,33.0,8.0,2022-09-01 00:00:00+00:00,[],,12.35,
CPIR,010000Z,,False,,33.0,8.0,2022-09-01 00:00:00+00:00,[],,12.35,
CPIR,010000Z,,False,,33.0,8.0,2022-09-01 00:00:00+00:00,[],,12.35,
CPRO,010000Z,,False,,33.0,7.0,2022-09-01 00:00:00+00:00,[],,12.86,
CPRO,010000Z,,False,,33.0,7.0,2022-09-01 00:00:00+00:00,[],,12.86,
CPRO,010000Z,,False,,33.0,7.0,2022-09-01 00:00:00+00:00,[],,12.86,
CPRO,010000Z,,False,,33.0,7.0,2022-09-01 00:00:00+00:00,[],,12.86,
CPRO,010000Z,,False,,33.0,7.0,2022-09-01 00:00:00+00:00,[],,12.86,
CPRO,010000Z,,False,,33.0,7.0,2022-09-01 00:00:00+00:00,[],,12.86,
CPRY,010000Z,,False,,33.0,3.0,2022-09-01 00:00:00+00:00,[],,0.51,
CPRY,010000Z,,False,,33.0,3.0,2022-09-01 00:00:00+00:00,[],,0.51,
CPRY,010000Z,,False,,33.0,3.0,2022-09-01 00:00:00+00:00,[],,0.51,
CPRY,010000Z,,False,,33.0,3.0,2022-09-01 00:00:00+00:00,[],,0.51,
CPRY,010000Z,,False,,33.0,3.0,2022-09-01 00:00:00+00:00,[],,0.51,
CPRY,010000Z,,False,,33.0,3.0,2022-09-01 00:00:00+00:00,[],,0.51,
CPST,010000Z,,False,,32.0,6.0,2022-09-01 00:00:00+00:00,[],,13.89,
CPST,010000Z,,False,,32.0,6.0,2022-09-01 00:00:00+00:00,[],,13.89,
CPST,010000Z,,False,,32.0,6.0,2022-09-01 00:00:00+00:00,[],,13.89,
CPST,010000Z,,False,,32.0,6.0,2022-09-01 00:00:00+00:00,[],,13.89,
CPST,010000Z,,False,,32.0,6.0,2022-09-01 00:00:00+00:00,[],,13.89,
CPST,010000Z,,False,,32.0,6.0,2022-09-01 00:00:00+00:00,[],,13.89,
CPST,010000Z,,False,,32.0,6.0,2022-09-01 00:00:00+00:00,[],,13.89,
CPSV,010000Z,,False,,32.0,8.0,2022-09-01 00:00:00+00:00,[],,13.89,
CPSV,010000Z,,False,,32.0,8.0,2022-09-01 00:00:00+00:00,[],,13.89,
CPSV,010000Z,,False,,32.0,8.0,2022-09-01 00:00:00+00:00,[],,13.89,
CPSV,010000Z,,False,,32.0,8.0,2022-09-01 00:00:00+00:00,[],,13.89,
CPSV,010000Z,,False,,32.0,8.0,2022-09-01 00:00:00+00:00,[],,13.89,
CPSV,010000Z,,False,,32.0,8.0,2022-09-01 00:00:00+00:00,[],,13.89,
CPSV,010000Z,,False,,32.0,8.0,2022-09-01 00:00:00+00:00,[],,13.89,
CTCK,010000Z,,False,,14.0,13.0,2022-09-01 00:00:00+00:00,[],,8.75,
CTCK,010000Z,,False,,14.0,13.0,2022-09-01 00:00:00+00:00,[],,8.75,
CTNK,010000Z,,False,,15.0,12.0,2022-09-01 00:00:00+00:00,[],,16.46,
CTNK,010000Z,,False,,15.0,12.0,2022-09-01 00:00:00+00:00,[],,16.46,
CTRA,010000Z,,False,,21.0,14.0,2022-09-01 00:00:00+00:00,[],,11.83,
CWAE,010000Z,,False,FEW,,,2022-09-01 00:00:00+00:00,[],24140.0,9.26,
CWAE,010000Z,,False,FEW,,,2022-09-01 00:00:00+00:00,[],24140.0,9.26,
CWAE,010000Z,,False,FEW,,,2022-09-01 00:00:00+00:00,[],24140.0,9.26,
CWAF,010000Z,,False,,,,2022-09-01 00:00:00+00:00,[],,,
CWAJ,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,11.83,
CWAJ,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,11.83,
CWAJ,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,11.83,
CWAQ,010000Z,,False,,34.0,3.0,2022-09-01 00:00:00+00:00,[],,9.26,
CWAR,010000Z,,False,,21.0,20.0,2022-09-01 00:00:00+00:00,[],,6.17,
CWAR,010000Z,,False,,21.0,20.0,2022-09-01 00:00:00+00:00,[],,6.17,
CWAR,010000Z,,False,,21.0,20.0,2022-09-01 00:00:00+00:00,[],,6.17,
CWAR,010000Z,,False,,21.0,20.0,2022-09-01 00:00:00+00:00,[],,6.17,
CWAR,010000Z,,False,,21.0,20.0,2022-09-01 00:00:00+00:00,[],,6.17,
CWAR,010000Z,,False,,21.0,20.0,2022-09-01 00:00:00+00:00,[],,6.17,
CWAR,010000Z,,False,,21.0,20.0,2022-09-01 00:00:00+00:00,[],,6.17,
CWAR,010000Z,,False,,21.0,20.0,2022-09-01 00:00:00+00:00,[],,6.17,
CWAR,010000Z,,False,,21.0,20.0,2022-09-01 00:00:00+00:00,[],,6.17,
CWAR,010000Z,,False,,21.0,20.0,2022-09-01 00:00:00+00:00,[],,6.17,
CWAV,010000Z,,False,,30.0,9.0,2022-09-01 00:00:00+00:00,[],,4.63,
CWBA,010000Z,,False,,14.0,8.0,2022-09-01 00:00:00+00:00,[],,17.49,
CWBE,010000Z,,False,,17.0,8.0,2022-09-01 00:00:00+00:00,[],,14.92,
CWBE,010000Z,,False,,17.0,8.0,2022-09-01 00:00:00+00:00,[],,14.92,
CWBE,010000Z,,False,,17.0,8.0,2022-09-01 00:00:00+00:00,[],,14.92,
CWBK,010000Z,,False,,24.0,20.0,2022-09-01 00:00:00+00:00,[],,8.75,
CWBK,010000Z,,False,,24.0,20.0,2022-09-01 00:00:00+00:00,[],,8.75,
CWBK,010000Z,,False,,24.0,20.0,2022-09-01 00:00:00+00:00,[],,8.75,
CWBK,010000Z,,False,,24.0,20.0,2022-09-01 00:00:00+00:00,[],,8.75,
CWBK,010000Z,,False,,24.0,20.0,2022-09-01 00:00:00+00:00,[],,8.75,
CWBK,010000Z,,False,,24.0,20.0,2022-09-01 00:00:00+00:00,[],,8.75,
CWBK,010000Z,,False,,24.0,20.0,2022-09-01 00:00:00+00:00,[],,8.75,
CWBK,010000Z,,False,,24.0,20.0,2022-09-01 00:00:00+00:00,[],,8.75,
CWBK,010000Z,,False,,24.0,20.0,2022-09-01 00:00:00+00:00,[],,8.75,
CWBK,010000Z,,False,,24.0,20.0,2022-09-01 00:00:00+00:00,[],,8.75,
CWBO,010000Z,,False,,33.0,9.0,2022-09-01 00:00:00+00:00,[],,15.43,
CWBS,010000Z,,False,,21.0,14.0,2022-09-01 00:00:00+00:00,[],,10.29,
CWBT,010000Z,,False,,14.0,14.0,2022-09-01 00:00:00+00:00,[],,7.2,
CWBU,010000Z,,False,,30.0,10.0,2022-09-01 00:00:00+00:00,[],,14.92,
CWBU,010000Z,,False,,30.0,10.0,2022-09-01 00:00:00+00:00,[],,14.92,
CWBU,010000Z,,False,,30.0,10.0,2022-09-01 00:00:00+00:00,[],,14.92,
CWBU,010000Z,,False,,30.0,10.0,2022-09-01 00:00:00+00:00,[],,14.92,
CWBV,010000Z,,False,,22.0,21.0,2022-09-01 00:00:00+00:00,[],,8.23,
CWBV,010000Z,,False,,22.0,21.0,2022-09-01 00:00:00+00:00,[],,8.23,
CWBV,010000Z,,False,,22.0,21.0,2022-09-01 00:00:00+00:00,[],,8.23,
CWBV,010000Z,,False,,22.0,21.0,2022-09-01 00:00:00+00:00,[],,8.23,
CWBV,010000Z,,False,,22.0,21.0,2022-09-01 00:00:00+00:00,[],,8.23,
CWBV,010000Z,,False,,22.0,21.0,2022-09-01 00:00:00+00:00,[],,8.23,
CWBV,010000Z,,False,,22.0,21.0,2022-09-01 00:00:00+00:00,[],,8.23,
CWBV,010000Z,,False,,22.0,21.0,2022-09-01 00:00:00+00:00,[],,8.23,
CWBV,010000Z,,False,,22.0,21.0,2022-09-01 00:00:00+00:00,[],,8.23,
CWBV,010000Z,,False,,22.0,21.0,2022-09-01 00:00:00+00:00,[],,8.23,
CWBY,010000Z,,False,,18.0,17.0,2022-09-01 00:00:00+00:00,[],,8.75,
CWBZ,010000Z,,False,,15.0,13.0,2022-09-01 00:00:00+00:00,[],,15.43,
CWCF,010000Z,,False,,22.0,11.0,2022-09-01 00:00:00+00:00,[],,5.14,
CWCI,010000Z,,False,,14.0,9.0,2022-09-01 00:00:00+00:00,[],,15.43,
CWCJ,010000Z,,False,,15.0,5.0,2022-09-01 00:00:00+00:00,[],,18.01,
CWCO,010000Z,,False,,19.0,11.0,2022-09-01 00:00:00+00:00,[],,14.92,
CWCT,010000Z,,False,,33.0,9.0,2022-09-01 00:00:00+00:00,[],,16.98,
CWCT,010000Z,,False,,33.0,9.0,2022-09-01 00:00:00+00:00,[],,16.98,
CWCT,010000Z,,False,,33.0,9.0,2022-09-01 00:00:00+00:00,[],,16.98,
CWCT,010000Z,,False,,33.0,9.0,2022-09-01 00:00:00+00:00,[],,16.98,
CWCT,010000Z,,False,,33.0,9.0,2022-09-01 00:00:00+00:00,[],,16.98,
CWCT,010000Z,,False,,33.0,9.0,2022-09-01 00:00:00+00:00,[],,16.98,
CWCT,010000Z,,False,,33.0,9.0,2022-09-01 00:00:00+00:00,[],,16.98,
CWDA,010000Z,,False,,,,2022-09-01 00:00:00+00:00,[],,5.14,
CWDA,010000Z,,False,,,,2022-09-01 00:00:00+00:00,[],,5.14,
CWDA,010000Z,,False,,,,2022-09-01 00:00:00+00:00,[],,5.14,
CWDA,010000Z,,False,,,,2022-09-01 00:00:00+00:00,[],,5.14,
CWDA,010000Z,,False,,,,2022-09-01 00:00:00+00:00,[],,5.14,
CWDA,010000Z,,False,,,,2022-09-01 00:00:00+00:00,[],,5.14,
CWDA,010000Z,,False,,,,2022-09-01 00:00:00+00:00,[],,5.14,
CWDA,010000Z,,False,,,,2022-09-01 00:00:00+00:00,[],,5.14,
CWDA,010000Z,,False,,,,2022-09-01 00:00:00+00:00,[],,5.14,
CWDA,010000Z,,False,,,,2022-09-01 00:00:00+00:00,[],,5.14,
CWDJ,010000Z,,False,,34.0,7.0,2022-09-01 00:00:00+00:00,[],,14.92,
CWDK,010000Z,,False,,32.0,6.0,2022-09-01 00:00:00+00:00,[],,15.95,
CWDM,010000Z,,False,,15.0,15.0,2022-09-01 00:00:00+00:00,[],,10.8,
CWDO,010000Z,,False,,21.0,16.0,2022-09-01 00:00:00+00:00,[],,11.83,
CWDO,010000Z,,False,,21.0,16.0,2022-09-01 00:00:00+00:00,[],,11.83,
CWDO,010000Z,,False,,21.0,16.0,2022-09-01 00:00:00+00:00,[],,11.83,
CWDO,010000Z,,False,,21.0,16.0,2022-09-01 00:00:00+00:00,[],,11.83,
CWDO,010000Z,,False,,21.0,16.0,2022-09-01 00:00:00+00:00,[],,11.83,
CWDO,010000Z,,False,,21.0,16.0,2022-09-01 00:00:00+00:00,[],,11.83,
CWDO,010000Z,,False,,21.0,16.0,2022-09-01 00:00:00+00:00,[],,11.83,
CWDO,010000Z,,False,,21.0,16.0,2022-09-01 00:00:00+00:00,[],,11.83,
CWDO,010000Z,,False,,21.0,16.0,2022-09-01 00:00:00+00:00,[],,11.83,
CWDO,010000Z,,False,,21.0,16.0,2022-09-01 00:00:00+00:00,[],,11.83,
CWDQ,010000Z,,False,,15.0,13.0,2022-09-01 00:00:00+00:00,[],,4.63,
CWDT,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,15.95,
CWDT,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,15.95,
CWDT,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,15.95,
CWDT,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,15.95,
CWDT,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,15.95,
CWDT,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,15.95,
CWDT,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,15.95,
CWDT,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,15.95,
CWDT,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,15.95,
CWDT,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,15.95,
CWDT,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,15.95,
CWDT,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,15.95,
CWDV,010000Z,,False,,16.0,5.0,2022-09-01 00:00:00+00:00,[],,15.43,
CWDZ,010000Z,,False,,35.0,7.0,2022-09-01 00:00:00+00:00,[],,15.43,
CWDZ,010000Z,,False,,35.0,7.0,2022-09-01 00:00:00+00:00,[],,15.43,
CWEB,010000Z,,False,,15.0,13.0,2022-09-01 00:00:00+00:00,[],,7.2,
CWEE,010000Z,,False,,12.0,10.0,2022-09-01 00:00:00+00:00,[],,,
CWEF,010000Z,,False,,20.0,20.0,2022-09-01 00:00:00+00:00,[],,6.69,
CWEH,010000Z,,False,,32.0,1.0,2022-09-01 00:00:00+00:00,[],,13.38,
CWEH,010000Z,,False,,32.0,1.0,2022-09-01 00:00:00+00:00,[],,13.38,
CWEH,010000Z,,False,,32.0,1.0,2022-09-01 00:00:00+00:00,[],,13.38,
CWEK,010000Z,,False,,,,2022-09-01 00:00:00+00:00,[],,8.23,
CWEL,010000Z,,False,,23.0,19.0,2022-09-01 00:00:00+00:00,[],,5.66,
CWEP,010000Z,,False,,22.0,20.0,2022-09-01 00:00:00+00:00,[],,7.2,
CWEQ,010000Z,,False,,31.0,10.0,2022-09-01 00:00:00+00:00,[],,13.38,
CWER,010000Z,,False,RMK ,,,2022-09-01 00:00:00+00:00,[],,12.35,
CWEU,010000Z,,False,BKN,,,2022-09-01 00:00:00+00:00,[],24140.0,0.51,
CWEU,010000Z,,False,BKN,,,2022-09-01 00:00:00+00:00,[],24140.0,0.51,
CWEW,010000Z,,False,,20.0,12.0,2022-09-01 00:00:00+00:00,[],,11.83,
